,0,1,2,3,4,5,6,output
176,145,31,145,94,94,94,71,1
177,2,59,148,78,78,116,116,2
178,148,140,148,2,48,116,116,2
179,18,118,126,118,118,126,99,1
180,126,118,118,126,99,89,39,1
181,126,99,89,39,99,39,99,1
182,22,52,51,48,89,89,51,1
183,51,48,89,89,51,89,39,1
184,89,51,89,39,99,39,99,1
185,22,77,22,16,2,59,51,2
186,2,59,51,148,140,122,116,3
187,119,22,77,22,2,119,22,3
188,2,119,22,147,96,148,116,3
189,148,116,148,96,148,2,59,3
190,96,148,2,59,2,96,116,3
191,96,147,34,147,34,27,34,3
192,147,34,27,34,147,96,148,3
193,119,2,59,2,116,59,2,3
194,116,59,2,147,96,148,116,3
195,2,59,2,116,2,59,116,3
196,2,116,2,59,116,148,96,3
197,2,59,116,148,96,148,96,3
198,2,119,2,59,2,116,59,1
199,145,31,145,94,94,94,71,1
200,94,94,108,118,126,118,34,3
201,2,59,148,78,78,116,116,2
202,78,116,116,148,140,148,2,2
203,116,116,148,140,148,2,48,2
204,116,148,140,148,2,48,140,2
205,148,140,148,2,48,140,140,2
206,126,83,99,89,51,5,89,1
207,5,89,78,48,89,2,2,2
208,89,2,2,51,140,78,120,2
209,140,78,120,78,140,51,2,2
210,140,51,2,51,140,78,120,2
211,5,99,5,89,51,5,89,1
212,119,22,77,22,2,119,22,3
213,2,119,22,147,96,148,116,3
214,148,116,148,96,148,2,59,3
215,96,148,2,59,2,96,116,3
216,96,147,34,147,34,27,34,3
217,147,34,27,34,147,96,148,3
218,119,2,59,2,116,59,2,3
219,116,59,2,147,96,148,116,3
220,2,59,2,116,2,59,116,3
221,2,116,2,59,116,148,96,3
222,2,59,116,148,96,148,96,3
223,141,18,141,18,141,135,93,1
224,141,18,141,135,93,99,39,1
225,121,126,121,48,121,48,148,2
226,148,121,59,89,51,51,89,1
227,51,51,89,51,39,51,99,1
228,99,89,39,99,83,126,89,1
229,108,118,126,108,118,126,21,1
230,108,118,126,21,99,39,21,1
231,36,14,42,136,36,14,42,0
232,36,14,42,103,130,66,108,0
233,42,103,130,66,108,66,130,0
234,66,108,66,130,103,130,52,1
235,66,130,103,130,52,103,39,1
236,119,80,77,80,2,119,80,3
237,2,119,80,100,96,148,19,3
238,2,59,2,110,2,107,110,2
239,2,110,2,107,110,148,140,2
240,2,107,110,148,140,148,140,2
241,119,2,59,2,19,59,2,3
242,19,59,2,100,96,148,19,3
243,2,59,2,110,2,107,110,2
244,2,110,2,107,110,148,140,2
245,2,107,110,148,140,148,140,2
246,59,2,56,120,127,78,34,2
247,2,59,51,59,2,59,51,2
248,51,59,2,59,51,148,140,2
249,2,59,51,148,140,48,140,2
250,140,48,140,148,140,48,83,2
251,16,16,148,126,89,89,51,1
252,89,89,51,89,39,99,99,1
253,51,89,39,99,99,99,39,1
254,94,94,71,71,71,71,71,2
255,71,71,71,71,71,140,73,1
256,129,93,31,42,101,5,104,0
257,130,133,66,104,129,74,135,0
258,66,104,129,74,135,74,130,0
259,93,94,93,71,53,93,66,0
260,93,71,53,93,66,53,130,0
261,73,5,99,83,45,73,89,2
262,89,45,89,89,45,89,45,1
263,89,89,45,89,45,103,39,1
264,89,45,89,45,103,39,103,1
265,89,45,103,39,103,39,39,1
266,41,5,108,41,5,108,5,0
267,41,5,108,5,63,130,5,0
268,5,63,130,5,63,130,5,0
269,5,63,130,5,63,130,5,0
270,5,31,129,5,136,41,74,0
271,5,31,129,5,136,41,74,0
272,141,126,118,141,85,21,57,0
273,109,109,109,109,52,109,110,1
