,0,1,2,3,4,5,6,output
176,50,50,50,50,50,119,119,0
177,50,50,50,50,119,119,119,0
178,50,50,50,119,119,119,119,0
179,44,44,50,50,10,50,52,0
180,44,50,50,10,50,52,50,0
181,50,10,50,52,50,119,119,0
182,44,44,50,50,10,50,52,0
183,44,50,50,10,50,52,50,0
184,50,10,50,52,50,119,119,0
185,44,44,50,50,10,50,52,0
186,44,50,50,10,50,52,50,0
187,50,10,50,52,50,119,119,0
188,2,2,50,50,50,50,50,0
189,2,50,50,50,50,50,50,0
190,50,50,50,50,50,119,119,0
191,2,2,50,50,50,50,50,0
192,2,50,50,50,50,50,50,0
193,50,50,50,50,50,119,119,0
194,2,2,50,50,50,50,50,0
195,2,50,50,50,50,50,50,0
196,50,50,50,50,50,119,119,0
197,2,2,50,50,50,50,50,0
198,2,50,50,50,50,50,50,0
199,50,50,50,50,50,119,119,0
200,2,2,50,50,50,50,50,0
201,2,50,50,50,50,50,50,0
202,50,50,50,50,50,119,119,0
203,2,2,50,50,50,50,50,0
204,2,50,50,50,50,50,50,0
205,50,50,50,50,50,119,119,0
206,2,2,50,50,50,50,50,0
207,2,50,50,50,50,50,50,0
208,50,50,50,50,50,119,119,0
209,2,2,50,50,50,50,50,0
210,2,50,50,50,50,50,50,0
211,50,50,50,50,50,119,119,0
212,2,2,50,50,50,50,50,0
213,2,50,50,50,50,50,50,0
214,50,50,50,50,50,119,119,0
215,2,2,50,50,50,50,50,0
216,2,50,50,50,50,50,50,0
217,50,50,50,50,50,119,119,0
218,2,2,50,50,50,50,50,0
219,2,50,50,50,50,50,50,0
220,50,50,50,50,50,119,119,0
221,2,2,50,50,50,50,50,0
222,2,50,50,50,50,50,50,0
223,50,50,50,50,50,119,119,0
224,2,2,50,50,50,50,50,0
225,2,50,50,50,50,50,50,0
226,50,50,50,50,50,119,119,0
227,2,2,50,50,50,50,50,0
228,2,50,50,50,50,50,50,0
229,50,50,50,50,50,119,119,0
230,2,2,50,50,50,50,50,0
231,2,50,50,50,50,50,50,0
232,50,50,50,50,50,119,119,0
233,2,2,50,50,50,50,50,0
234,2,50,50,50,50,50,50,0
235,50,50,50,50,50,119,119,0
236,2,2,50,50,50,50,50,0
237,2,50,50,50,50,50,50,0
238,50,50,50,50,50,119,119,0
239,16,60,65,16,60,97,44,0
240,50,119,73,73,44,97,44,0
241,119,73,55,73,44,97,44,0
242,50,119,73,73,44,97,44,0
243,58,104,110,104,52,67,73,0
244,73,72,50,26,72,50,72,0
245,52,104,40,52,72,40,55,0
246,24,27,3,31,50,3,31,0
247,31,102,57,3,31,24,50,0
248,81,44,103,31,52,10,31,0
249,50,26,72,3,26,57,72,0
250,72,3,26,3,26,72,73,0
251,26,72,3,57,3,26,72,0
252,72,3,57,3,26,72,54,0
253,50,50,31,26,72,72,72,0
254,55,55,55,55,55,55,55,0
255,34,80,39,16,28,76,76,0
256,39,16,28,76,76,76,119,0
257,76,76,119,67,119,67,54,0
258,119,67,119,67,54,5,119,0
259,119,67,54,5,119,67,119,0
260,119,67,119,67,119,67,54,0
261,119,67,119,67,54,5,119,0
262,119,67,54,5,119,67,119,0
263,119,67,119,67,119,67,54,0
264,119,67,119,67,54,5,119,0
265,119,67,54,5,119,67,119,0
266,119,67,119,67,119,67,54,0
267,67,54,5,119,67,109,54,0
268,5,119,67,109,54,5,119,0
269,54,5,119,67,119,54,5,0
270,47,29,18,2,47,29,18,0
271,47,29,18,67,119,54,5,0
272,29,18,67,67,67,67,67,0
273,18,67,67,67,67,67,67,0
274,67,67,67,67,67,67,119,0
275,67,67,67,67,67,119,119,0
276,67,67,67,67,119,119,119,0
277,67,67,67,119,119,119,119,0
278,5,5,67,67,67,67,67,0
279,5,67,67,67,67,67,67,0
280,67,67,67,67,67,67,119,0
281,67,67,67,67,67,119,119,0
282,67,67,67,67,119,119,119,0
283,67,67,67,119,119,119,119,0
284,18,18,67,67,67,67,67,0
285,18,67,67,67,67,67,67,0
286,67,67,67,67,67,67,119,0
287,67,67,67,67,67,119,119,0
288,67,67,67,67,119,119,119,0
289,67,67,67,119,119,119,119,0
290,5,5,67,67,67,67,67,0
291,5,67,67,67,67,67,67,0
292,67,67,67,67,67,67,119,0
293,67,67,67,67,67,119,119,0
294,67,67,67,67,119,119,119,0
295,67,67,67,119,119,119,119,0
296,29,18,18,18,18,109,54,0
297,22,22,22,22,22,109,54,0
298,22,22,22,22,22,109,54,0
299,22,109,54,5,119,109,54,0
300,119,109,54,5,119,109,54,0
301,54,5,119,109,54,5,119,0
302,54,5,119,67,119,54,5,0
303,47,29,18,2,47,29,18,0
304,47,29,18,67,119,54,5,0
305,18,2,47,29,18,109,54,0
306,109,54,5,119,72,109,12,0
307,5,119,72,109,12,9,119,0
308,12,9,119,67,119,67,54,0
309,119,67,119,67,54,5,119,0
310,119,67,54,5,119,67,119,0
311,119,67,119,67,119,67,54,0
