,0,1,2,3,4,5,6,output
177,115,12,94,100,94,94,100,1
178,100,76,80,39,16,39,38,1
179,76,80,39,16,39,38,36,1
180,39,16,39,38,36,70,70,1
181,70,28,76,28,76,66,28,1
182,39,16,60,16,11,1,46,2
183,11,1,46,38,122,114,98,2
184,74,121,25,115,62,43,19,1
185,19,66,70,86,11,65,11,2
186,101,41,65,95,98,65,11,2
187,43,65,16,60,65,16,60,2
188,16,60,16,1,95,16,121,2
189,16,1,95,16,121,74,122,2
190,95,16,121,74,122,92,122,2
191,122,74,122,1,46,1,74,2
192,121,25,121,25,20,25,121,2
193,20,25,121,74,122,92,74,2
194,122,92,74,92,122,92,46,2
195,1,46,1,92,46,1,121,2
196,1,92,46,1,121,74,122,2
197,46,1,121,74,122,92,122,2
198,122,1,46,1,92,1,46,2
199,46,1,92,1,46,92,122,2
200,46,92,122,74,122,74,121,2
201,73,85,94,100,94,25,121,2
202,100,94,25,121,74,122,92,2
203,46,1,95,95,95,1,1,2
204,1,1,46,122,61,61,92,2
205,46,122,61,61,92,92,122,2
206,60,65,60,16,95,1,46,2
207,52,3,10,3,52,3,76,1
208,3,76,3,70,94,100,66,1
209,70,94,100,66,76,70,38,1
210,38,3,70,3,28,3,38,1
211,3,28,3,38,3,70,61,1
212,114,61,96,61,114,38,95,2
213,114,38,95,46,122,25,95,2
214,52,3,10,3,52,3,76,1
215,3,52,3,76,3,70,38,1
216,38,3,70,3,28,3,38,1
217,3,28,3,38,3,70,61,1
218,61,36,70,39,16,65,16,2
219,33,65,16,60,65,16,60,2
220,16,60,16,1,95,16,121,2
221,16,1,95,16,121,74,122,2
222,95,16,121,74,122,92,122,2
223,122,74,122,1,46,1,74,2
224,121,25,121,25,20,25,121,2
225,20,25,121,74,122,92,74,2
226,122,92,74,92,122,92,46,2
227,1,46,1,92,46,1,121,2
228,1,92,46,1,121,74,122,2
229,46,1,121,74,122,92,122,2
230,122,1,46,1,92,1,46,2
231,46,1,92,1,46,92,122,2
232,46,92,122,74,122,74,121,2
233,97,94,97,100,97,36,97,2
234,97,94,97,100,97,36,97,2
235,100,97,36,97,36,122,97,2
236,97,36,122,97,92,122,97,1
237,97,92,122,97,46,70,38,1
238,70,38,38,70,38,28,38,1
239,28,38,76,70,28,76,66,1
240,38,76,70,28,76,66,100,1
241,70,28,76,66,100,70,70,1
242,76,66,100,70,70,28,70,1
243,94,100,15,76,28,15,76,0
244,86,39,11,86,39,11,16,1
245,11,86,39,11,16,39,70,1
246,70,36,70,39,16,39,16,1
247,70,39,16,39,16,39,70,1
248,70,36,70,39,16,39,11,1
249,70,39,16,39,11,86,70,1
250,70,66,70,86,11,86,16,1
251,11,86,16,86,70,66,11,1
252,80,76,100,76,80,39,80,0
253,80,39,80,86,110,76,94,0
254,80,86,110,76,94,76,110,0
255,86,110,76,94,76,110,86,0
256,76,110,86,110,110,27,10,0
257,28,100,28,80,39,80,16,1
258,39,80,16,39,70,36,16,1
259,70,36,16,39,70,36,60,1
260,36,60,39,70,36,65,16,2
261,92,1,60,33,60,65,11,2
262,33,60,65,11,46,122,95,2
263,11,46,122,95,46,122,25,2
264,43,65,63,60,65,63,60,2
265,63,60,63,1,95,63,77,2
266,63,1,95,63,77,74,122,2
267,95,63,77,74,122,13,122,2
268,122,1,46,1,87,1,84,2
269,46,1,87,1,84,87,122,2
270,84,87,122,114,122,114,118,2
271,46,1,87,1,46,1,11,2
272,1,46,1,13,46,1,77,2
273,1,13,46,1,77,74,122,2
274,46,1,77,74,122,13,122,2
275,122,1,46,1,87,1,84,2
276,46,1,87,1,84,87,122,2
277,84,87,122,114,122,114,118,2
278,1,43,96,101,61,25,121,2
279,92,46,1,95,16,60,65,2
280,99,95,1,95,1,92,53,2
281,1,95,1,92,53,92,122,2
284,95,1,46,38,46,1,46,2
285,46,1,46,38,122,114,36,2
286,38,3,84,3,46,65,11,2
287,65,65,60,60,16,16,11,2
288,60,60,16,16,11,11,122,1
289,60,16,16,11,11,122,100,1
290,16,11,11,122,100,70,70,1
291,85,94,100,100,94,85,40,2
292,107,52,81,103,58,109,58,0
293,78,103,3,78,57,3,30,0
294,3,34,57,3,76,66,34,1
295,38,39,38,38,39,38,39,1
296,38,38,39,38,39,34,70,1
297,38,39,38,39,34,70,34,1
298,38,39,34,70,34,70,70,1
299,28,80,28,28,80,28,80,0
300,28,80,28,80,2,110,3,0
301,80,2,110,3,40,110,3,0
302,3,40,110,3,40,110,3,0
303,3,3,40,3,3,40,3,0
304,3,3,40,3,40,110,3,0
305,3,40,110,3,40,110,3,0
306,3,40,110,3,40,110,3,0
307,31,78,103,81,3,22,103,0
308,31,78,103,81,3,22,103,0
309,31,78,103,81,3,22,103,0
310,103,81,3,22,103,3,110,0
311,31,78,103,81,3,22,103,0
312,103,81,3,22,103,3,110,0
313,31,78,103,81,3,22,103,0
314,103,81,3,22,103,3,110,0
315,3,110,115,110,80,100,62,0
316,115,110,80,100,62,57,110,0
317,86,86,86,86,86,39,86,1
