,0,1,2,3,4,5,6,output
176,44,115,44,44,146,44,82,0
177,115,44,44,146,44,82,82,0
178,44,146,44,82,82,146,77,0
179,44,115,44,44,146,44,82,0
180,115,44,44,146,44,82,82,0
181,44,146,44,82,82,146,77,0
182,44,115,44,44,146,44,82,0
183,146,115,44,54,146,22,44,0
184,51,59,2,119,124,2,59,1
185,51,119,2,59,124,119,2,1
186,119,2,59,134,124,119,124,1
187,16,59,16,59,22,52,22,0
188,16,59,22,52,22,52,77,0
189,29,5,5,112,32,29,90,1
190,94,94,94,112,44,142,82,0
191,72,52,109,45,103,6,136,1
192,84,31,31,145,44,142,82,0
193,16,16,16,145,44,142,82,0
194,136,103,136,16,52,16,52,0
195,136,103,136,16,52,16,52,0
196,139,59,107,140,55,23,2,0
197,41,130,52,16,52,16,80,0
198,16,80,107,107,52,16,16,0
199,107,107,52,16,16,82,77,0
200,107,51,89,140,89,51,107,0
201,51,89,140,89,51,107,16,0
202,89,140,89,51,107,16,77,0
203,140,89,51,107,16,77,77,0
204,80,107,89,143,51,107,16,0
205,89,143,51,107,16,80,77,0
206,51,107,16,80,77,16,77,0
207,16,80,16,16,16,16,80,0
208,107,52,16,107,52,16,80,0
209,51,107,51,107,16,107,148,0
210,52,51,107,52,16,80,16,0
211,107,16,80,52,16,80,52,0
212,52,80,77,16,80,16,51,0
213,80,77,16,80,16,51,140,0
214,16,107,52,16,80,52,16,0
215,52,16,80,52,16,80,77,0
216,96,52,51,140,16,2,58,0
217,107,52,16,51,140,80,107,0
218,107,52,107,140,52,107,52,0
219,107,140,52,107,52,16,77,0
220,52,51,107,52,107,52,16,0
221,51,107,52,16,80,16,52,0
222,16,52,80,77,80,16,52,0
223,144,140,89,51,107,52,16,0
224,140,89,51,107,52,16,80,0
225,51,107,52,16,80,77,77,0
226,80,107,89,51,107,52,16,0
227,34,89,144,51,140,107,52,0
228,71,71,71,71,71,71,71,1
229,71,71,71,71,71,112,134,1
230,71,71,71,112,134,58,134,1
231,71,112,134,58,134,112,134,1
232,134,58,134,112,134,142,134,1
233,29,137,29,58,29,137,142,1
234,29,58,29,137,142,112,134,1
235,29,137,142,112,134,58,134,1
236,142,112,134,58,134,112,134,1
237,134,58,134,112,134,142,134,1
238,90,112,90,95,90,112,90,1
239,90,95,90,112,90,112,134,1
240,90,112,90,112,134,58,134,1
241,90,112,134,58,134,112,134,1
242,134,58,134,112,134,142,134,1
243,29,137,29,58,29,137,142,1
244,29,58,29,137,142,112,134,1
245,29,137,142,112,134,58,134,1
